lineage,group
BA.5.1.8,BA.5.1.8
BA.5.10,BA.5.10
BA.5.10.1,BA.5.10.1
BA.5.2.14,BA.5.2.14/BA.5.2.7/CG.1
BA.5.2.16,BA.5.2.16/BA.5.6.1/BF.3
BA.5.2.18,BA.5.2.18
BA.5.2.23,BA.5.2.23
BA.5.2.24,BA.5.2.24
BA.5.2.25,BA.5.2.25/BA.5.6.2
BA.5.2.30,BA.5.2.30
BA.5.2.31,BA.5.2.31
BA.5.2.32,BA.5.2.32/BA.5.2.52/BA.5.2.54/BA.5.2.60/BF.14/CC.1/CN.1
BA.5.2.36,BA.5.2.36/BE.1.1.1
BA.5.2.37,BA.5.2.37
BA.5.2.41,BA.5.2.41
BA.5.2.43,BA.5.2.43
BA.5.2.45,BA.5.2.45
BA.5.2.46,BA.5.2.46
BA.5.2.61,BA.5.2.61
BA.5.5.1,BA.5.5.1
BA.5.6.4,BA.5.6.4
BA.5.7,BA.5.7
BA.5.9,BA.5.9/CE.1
BC.2,BC.2
BE.1.3,BE.1.3
BE.10,BE.10/BE.9/BQ.1/BQ.1.10/BQ.1.11/BQ.1.12/BQ.1.13/BQ.1.14/BQ.1.15/BQ.1.2/BQ.1.2.1/BQ.1.2.3/BQ.1.3/BQ.1.3.1/BQ.1.3.2/BQ.1.4/BQ.1.5/BQ.1.6/BQ.1.8/BQ.1.8.2
BE.13,BE.13
BE.4.1.1,BE.4.1.1
BE.4.2,BE.4.2
BE.5,BE.5
BE.6,BE.6
BE.7,BE.7
BF.1,BF.1
BF.11.2,BF.11.2
BF.12,BF.12
BF.15,BF.15
BF.16,BF.16
BF.17,BF.17
BF.20,BF.20
BF.32,BF.32
BF.34,BF.34
BF.4,BF.4
BF.40,BF.40
BF.5.1,BF.5.1
BF.5.5,BF.5.5
BF.7.1,BF.7.1
BF.7.13.1,BF.7.13.1
BF.7.14,BF.7.14/BF.7.14.5
BF.7.14.1,BF.7.14.1
BF.7.15,BF.7.15
BF.7.16,BF.7.16
BF.7.19.1,BF.7.19.1
BF.7.7,BF.7.7
BG.2,BG.2
BG.4,BG.4
BH.1,BH.1
BK.1,BK.1
BL.1,BL.1
BL.1.2,BL.1.2
BL.1.3,BL.1.3
BL.1.4,BL.1.4
BL.1.5,BL.1.5
BL.2,BL.2
BL.4,BL.4
BM.1,BM.1
BM.1.1,BM.1.1
BM.1.1.1,BM.1.1.1
BM.1.1.4,BM.1.1.4
BM.1.1.5,BM.1.1.5
BM.2,BM.2
BM.2.1,BM.2.1/CB.1
BM.4.1,BM.4.1
BM.4.1.1,BM.4.1.1
BN.1,BN.1/BN.1.3.8/BN.1.4.2
BN.1.1,BN.1.1
BN.1.1.1,BN.1.1.1
BN.1.10,BN.1.10
BN.1.11,BN.1.11/EJ.2
BN.1.2,BN.1.2/BN.1.2.2
BN.1.2.1,BN.1.2.1
BN.1.2.3,BN.1.2.3/BN.1.2.6/BN.1.3/BN.1.3.1/BN.1.3.12/BN.1.3.5/BN.1.3.6/BN.1.4/BN.1.5/BN.1.9/DS.2
BN.1.2.4,BN.1.2.4
BN.1.3.2,BN.1.3.2
BN.1.3.3,BN.1.3.3
BN.1.3.7,BN.1.3.7
BN.1.3.9,BN.1.3.9
BN.1.4.1,BN.1.4.1
BN.1.4.3,BN.1.4.3
BN.1.4.4,BN.1.4.4/FR.2
BN.1.4.5,BN.1.4.5
BN.1.5.2,BN.1.5.2
BN.1.6,BN.1.6
BN.1.7,BN.1.7
BN.2,BN.2
BN.3,BN.3
BN.3.1,BN.3.1
BN.4,BN.4
BN.5,BN.5
BN.6,BN.6
BQ.1.1,BQ.1.1/BQ.1.1.10/BQ.1.1.16/BQ.1.1.17/BQ.1.1.18/BQ.1.1.23/BQ.1.1.27/BQ.1.1.29/BQ.1.1.3/BQ.1.1.4/BQ.1.1.40/BQ.1.1.5/BQ.1.1.53/BQ.1.1.54/BQ.1.1.55/BQ.1.1.6/BQ.1.1.60/BQ.1.1.69/BQ.1.1.7/BQ.1.1.72/BQ.1.18/BQ.1.25.1/ED.2/EE.2/EE.4/EF.1/EF.1.3/XBZ
BQ.1.1.1,BQ.1.1.1/BQ.1.1.15/BQ.1.1.21/BQ.1.1.24/BQ.1.1.36/BQ.1.1.42/BQ.1.1.43/BQ.1.1.49/BQ.1.1.52/BQ.1.1.56/BQ.1.1.64/BQ.1.1.8/BQ.1.22/EA.1/EE.1/EF.1.1/EF.2
BQ.1.1.11,BQ.1.1.11
BQ.1.1.12,BQ.1.1.12
BQ.1.1.13,BQ.1.1.13/BQ.1.1.20/BQ.1.1.22/BQ.1.1.58/BQ.1.1.67/BQ.1.1.77/BQ.1.1.79/DB.1/EF.3
BQ.1.1.19,BQ.1.1.19/CZ.2/DN.2/EE.5/EF.1.2/FM.1/FM.2
BQ.1.1.2,BQ.1.1.2/BQ.1.1.44
BQ.1.1.26,BQ.1.1.26
BQ.1.1.28,BQ.1.1.28/BQ.1.1.38
BQ.1.1.31,BQ.1.1.31
BQ.1.1.32,BQ.1.1.32/DR.1
BQ.1.1.34,BQ.1.1.34
BQ.1.1.35,BQ.1.1.35
BQ.1.1.37,BQ.1.1.37
BQ.1.1.39,BQ.1.1.39
BQ.1.1.41,BQ.1.1.41
BQ.1.1.45,BQ.1.1.45
BQ.1.1.46,BQ.1.1.46/EN.1
BQ.1.1.47,BQ.1.1.47/BQ.1.1.65
BQ.1.1.48,BQ.1.1.48
BQ.1.1.51,BQ.1.1.51
BQ.1.1.57,BQ.1.1.57
BQ.1.1.59,BQ.1.1.59
BQ.1.1.62,BQ.1.1.62
BQ.1.1.63,BQ.1.1.63
BQ.1.1.66,BQ.1.1.66
BQ.1.1.68,BQ.1.1.68
BQ.1.1.71,BQ.1.1.71
BQ.1.1.78,BQ.1.1.78
BQ.1.10.1,BQ.1.10.1
BQ.1.10.2,BQ.1.10.2
BQ.1.10.3,BQ.1.10.3/BQ.1.31
BQ.1.13.1,BQ.1.13.1/BQ.1.26.2
BQ.1.16,BQ.1.16
BQ.1.17,BQ.1.17/CY.1
BQ.1.19,BQ.1.19
BQ.1.20,BQ.1.20
BQ.1.21,BQ.1.21
BQ.1.23,BQ.1.23/BQ.1.26/BQ.1.26.1
BQ.1.24,BQ.1.24
BQ.1.25,BQ.1.25
BQ.1.27,BQ.1.27
BQ.1.28,BQ.1.28
BQ.1.33,BQ.1.33
BQ.1.8.1,BQ.1.8.1
BQ.2,BQ.2
BR.1,BR.1
BR.1.2,BR.1.2
BR.2,BR.2/BR.2.1
BR.3,BR.3
BR.5,BR.5
BS.1,BS.1
BS.1.1,BS.1.1
BU.1,BU.1
BU.3,BU.3
BV.1,BV.1
BV.2,BV.2/DJ.1.3
BW.1,BW.1
BW.1.1,BW.1.1/BW.1.1.2
BW.1.1.1,BW.1.1.1
BY.1.1,BY.1.1
BY.1.1.1,BY.1.1.1/CA.1/CA.7
BY.1.2,BY.1.2
C.36.3,C.36.3
C.36.3.1,C.36.3.1
C.37.1,C.37.1
CA.2,CA.2
CH.1.1,CH.1.1/CH.1.1.11/CH.1.1.16/CH.1.1.8/FK.1.2.1/GP.2
CH.1.1.1,CH.1.1.1/CH.1.1.10/CH.1.1.24/CH.1.1.6/DV.2/DV.6
CH.1.1.12,CH.1.1.12/CH.1.1.19/CH.1.1.32/CH.1.1.9
CH.1.1.13,CH.1.1.13
CH.1.1.14,CH.1.1.14
CH.1.1.15,CH.1.1.15/CH.1.1.2/DV.7
CH.1.1.17,CH.1.1.17
CH.1.1.18,CH.1.1.18/CH.1.1.4/CH.1.1.7/DV.1.1/DV.6.1/DV.8/FK.1.5/GP.1
CH.1.1.21,CH.1.1.21
CH.1.1.22,CH.1.1.22
CH.1.1.25,CH.1.1.25
CH.1.1.26,CH.1.1.26
CH.1.1.27,CH.1.1.27/CH.1.1.29
CH.1.1.28,CH.1.1.28
CH.1.1.3,CH.1.1.3
CH.1.1.30,CH.1.1.30
CH.1.1.5,CH.1.1.5
CH.2,CH.2
CH.3.1,CH.3.1
CJ.1,CJ.1/CJ.1.2
CJ.1.1,CJ.1.1
CJ.1.3,CJ.1.3/XBF.2/XBF.4/XBF.7.1
CK.1,CK.1/CK.1.4
CK.1.3,CK.1.3
CK.1.5,CK.1.5
CK.2.1,CK.2.1
CK.2.1.1,CK.2.1.1
CK.3,CK.3/DL.1
CL.1,CL.1
CL.1.1,CL.1.1/CL.1.2
CL.1.3,CL.1.3
CM.1,CM.1
CM.10,CM.10
CM.12,CM.12
CM.2.1,CM.2.1
CM.3,CM.3
CM.5.1,CM.5.1
CM.6.1,CM.6.1
CM.7,CM.7
CM.7.1,CM.7.1
CM.8.1,CM.8.1
CM.8.1.1,CM.8.1.1
CM.8.1.2,CM.8.1.2
CM.8.1.4,CM.8.1.4
CP.1.2,CP.1.2
CP.2,CP.2
CP.4,CP.4
CQ.1,CQ.1/CR.1
CQ.2,CQ.2
CR.1.1,CR.1.1
CR.1.3,CR.1.3
CR.2,CR.2
CT.1,CT.1
CU.1,CU.1
CV.1,CV.1
CZ.1,CZ.1
DA.1,DA.1
DB.2,DB.2
DC.1,DC.1
DF.1,DF.1
DF.1.1,DF.1.1
DG.1,DG.1
DJ.1.1,DJ.1.1
DJ.1.1.1,DJ.1.1.1
DM.1,DM.1
DN.1,DN.1
DN.1.1,DN.1.1
DN.1.1.4,DN.1.1.4
DN.3.1,DN.3.1
DP.1,DP.1
DQ.1,DQ.1
DS.1,DS.1
DS.3,DS.3
DT.2,DT.2
DT.3,DT.3
DU.1,DU.1
DV.1,DV.1/DV.3
DV.3.1,DV.3.1
DV.6.2,DV.6.2
DV.7.1,DV.7.1/DV.7.1.2/DV.7.1.4/DV.7.1.6/XCT/XCT.1
DV.7.1.3,DV.7.1.3
DV.7.1.5,DV.7.1.5
DV.7.1.8,DV.7.1.8
EA.2,EA.2
EC.1,EC.1
EC.1.1,EC.1.1
EE.3,EE.3
EG.1,EG.1/FD.4.1/FL.10/FL.2.1/FL.26/FL.33/FL.4/FL.5/FT.4/XBB.1.5.11/XBB.1.5.20/XBB.1.5.23/XBB.1.5.33/XBB.1.5.36/XBB.1.5.49/XBB.1.5.62/XBB.1.5.63/XBB.1.9.1/XBL.1/XBL.3
EG.1.2,EG.1.2/EG.1.6/FL.13/FL.22/FL.3.1/FL.3.2/FL.8/XBB.1.11.1/XBB.1.17.1/XBB.1.43.1/XBB.1.5/XBB.1.5.102/XBB.1.5.13/XBB.1.5.15/XBB.1.5.18/XBB.1.5.25/XBB.1.5.31/XBB.1.5.34/XBB.1.5.37/XBB.1.5.38/XBB.1.5.46/XBB.1.5.48/XBB.1.5.52/XBB.1.5.65/XBB.1.5.7/XBB.1.5.95/XBW
EG.1.3,EG.1.3/EG.1.5/FL.13.3/FL.17/FL.2.7/FL.24/FL.25/FL.3.3/FL.4.5/FL.7/FY.1.1/FY.1.2/FY.1.2.2/FY.1.2.3/FY.3.2/FY.6/FY.8/GA.3/GN.3/GN.4/XBB.1.18.1/XBB.1.19/XBB.1.19.1/XBB.1.37.1/XBB.1.42.2/XBB.1.5.39/XBB.1.5.4/XBB.1.5.80
EG.1.4,EG.1.4/GF.1/XBB.1.5.16/XBB.1.5.90
EG.1.7,EG.1.7
EG.10,EG.10
EG.10.1,EG.10.1
EG.10.1.1,EG.10.1.1
EG.12,EG.12/XBB.1.34.1
EG.13,EG.13
EG.14,EG.14/XBB.1.5.77
EG.2,EG.2
EG.3,EG.3/XBB.1.5.57/XBB.1.5.88
EG.4,EG.4/FL.2.6/JD.2/XBB.1.5.101/XBB.1.5.66/XBB.1.5.96
EG.4.4,EG.4.4
EG.4.5,EG.4.5/XBB.1.16.4
EG.5,EG.5
EG.5.1,EG.5.1/EG.5.2.3/HK.31
EG.5.1.1,EG.5.1.1/EG.5.1.12/EG.5.1.13/EG.5.1.15/EG.5.1.19/EG.5.1.2/EG.5.1.3/EG.5.1.4/EG.5.1.5/EG.5.1.7/EG.5.1.9/EG.5.2/EG.6.1/FD.1.1/FD.5.1/FE.1.1/FE.1.2/FL.1.5/FL.15/FL.32.1/GN.1.1/HE.1/HK.23/HK.28/HK.30/JG.1/JG.2/JG.4/JZ.1/XBB.1.5.72/XCF/XDF
EG.5.1.11,EG.5.1.11/EG.5.1.14/HK.17
EG.5.1.6,EG.5.1.6
EG.5.1.8,EG.5.1.8/GK.1.1/GK.1.1.1/GK.2/GK.2.1/HK.11.1/HK.13.1/HK.26/HK.3/HK.3.10/HK.3.4/HK.3.6/JG.3/JG.3.3/KB.1/XCH.1/XCZ/XDL
EG.6,EG.6
EG.6.1.1,EG.6.1.1
EG.6.1.2,EG.6.1.2
EG.7,EG.7
EG.8,EG.8
EH.1,EH.1
EJ.1,EJ.1
EK.3,EK.3
EL.1,EL.1
EM.1,EM.1/XBB.1.5.21
EN.1.1,EN.1.1
EP.2,EP.2
EQ.1,EQ.1
ER.1,ER.1
ER.1.1,ER.1.1
ET.1,ET.1
EU.1,EU.1
EU.1.1,EU.1.1
EU.1.1.1,EU.1.1.1
EU.1.1.2,EU.1.1.2
EU.1.1.3,EU.1.1.3
EW.1,EW.1
EW.2,EW.2
EW.3,EW.3
EY.1,EY.1
EZ.1,EZ.1
FA.1,FA.1
FB.2,FB.2
FD.2,FD.2
