,Day since infection,"Proba Neut Min
 vs. Wuhan-Hu-1 antigen","Proba Neut Max
 vs. Wuhan-Hu-1 antigen"
168,169,0.0890730977845291,0.7457600705919624
169,170,0.08676418786832141,0.742613815577801
170,171,0.0845118438522785,0.739454577840996
171,172,0.08231485268999605,0.7362826637776246
172,173,0.08017201808498198,0.7330983816361032
173,174,0.07808216079935959,0.7299020413991503
174,175,0.07604411892155061,0.726693954665943
175,176,0.0740567480951767,0.7234744345345485
176,177,0.0721189217113638,0.7202437954847026
177,178,0.07022953106653163,0.7170023532610172
178,179,0.06838748548768903,0.7137504247566838
179,180,0.06659171242717221,0.7104883278977541
180,181,0.06484115752868214,0.7072163815280595
181,182,0.06313478466640954,0.703934905294844
182,183,0.06147157595895847,0.7006442195351745
183,184,0.05985053175970423,0.6973446451631966
184,185,0.058270670625156784,0.6940365035582929
185,186,0.05673102926282425,0.6907201164542117
186,187,0.055230662460007296,0.6873958058292227
187,188,0.05376864299489481,0.6840638937973553
188,189,0.05234406153125104,0.6807247025007754
189,190,0.05095602649794406,0.6773785540033574
190,191,0.04960366395448523,0.6740257701854988
191,192,0.04828611744370592,0.6706666726402267
192,193,0.047002547832632136,0.6673015825706465
193,194,0.04575213314256765,0.6639308206887771
194,195,0.04453406836934448,0.6605547071158123
195,196,0.04334756529464212,0.657173561283857
196,197,0.04219185228924338,0.6537877018391687
197,198,0.04106617410902491,0.6503974465469502
198,199,0.03996979168446069,0.6470031121977229
199,200,0.0389019819043539,0.6436050145153158
200,201,0.03786203739448435,0.6402034680665045
201,202,0.03684926629180674,0.6367987861723241
202,203,0.03586299201481291,0.6333912808210891
203,204,0.03490255303061718,0.6299812625831438
204,205,0.03396730261930325,0.6265690405273654
205,206,0.03305660863603321,0.6231549221394443
206,207,0.03216985327138,0.6197392132419628
207,208,0.03130643281033374,0.6163222179162839
208,209,0.03046575739037727,0.6129042384262782
209,210,0.029647250759026744,0.6094855751438892
210,211,0.028850350031180083,0.6060665264765659
211,212,0.02807450544661716,0.6026473887965595
212,213,0.02731918012794976,0.5992284563721049
213,214,0.026583849839314055,0.5958100213004875
214,215,0.025868002746061602,0.5923923734430085
215,216,0.025171139175704127,0.5889758003618466
216,217,0.024492771380326017,0.5855605872588244
217,218,0.023832423300679806,0.5821470169160812
218,219,0.023189630332151268,0.5787353696386477
219,220,0.022563939092767882,0.5753259231989306
220,221,0.021954907193409312,0.5719189527830931
221,222,0.021362103010369782,0.5685147309393388
222,223,0.020785105460392583,0.5651135275280843
223,224,0.02022350377830595,0.5617156096740242
224,225,0.019676897297356666,0.5583212417200678
225,226,0.019144895232346193,0.5549306851831534
226,227,0.018627116465643856,0.5515441987119187
227,228,0.01812318933615531,0.5481620380462194
228,229,0.017632751431315596,0.5447844559784906
229,230,0.017155449382152743,0.5414117023169234
230,231,0.016690938661478638,0.5380440238504595
231,232,0.016238883385242375,0.5346816643155735
232,233,0.0157989561170786,0.531324864364837
233,234,0.015370837676084381,0.5279738615372416
234,235,0.014954216947828614,0.5246288902302653
235,236,0.014548790698627245,0.5212901816736657
236,237,0.014154263393076016,0.5179579639049734
237,238,0.013770347014858353,0.5146324617466735
238,239,0.013396760890812653,0.5113138967850492
239,240,0.013033231518265187,0.5080024873506681
240,241,0.012679492395615166,0.5046984485004866
241,242,0.01233528385615601,0.5014019920015542
242,243,0.012000352905118139,0.498113326316286
243,244,0.011674453059914436,0.49483265658929054
244,245,0.011357344193566266,0.49156018463571904
245,246,0.011048792381276762,0.4882961089311144
246,247,0.010748569750136605,0.4850406246027388
247,248,0.010456454331922216,0.4817939234223446
248,249,0.010172229918954168,0.47855619380037406
249,250,0.009895685922993835,0.47532762078155155
250,251,0.009626617237123103,0.47210838604184924
251,252,0.009364824100591362,0.4688986678867917
252,253,0.009110111966575074,0.4656986412510805
253,254,0.008862291372818798,0.46250847769950443
254,255,0.008621177815118508,0.4593283454291128
255,256,0.008386591623598116,0.4561584092726195
256,257,0.008158357841746677,0.45299883070301505
