,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
325,326,0.003492071663183438,0.5746445657334454,0.0006987021614461852,0.165768501641391
326,327,0.003396770699741314,0.5712331700059419,0.000679603456681499,0.16427335103434793
327,328,0.003304065516735566,0.5678246592186456,0.0006610266110375074,0.1627901628341314
328,329,0.0032138856829931894,0.5644193025505244,0.0006429573755991624,0.16131887022504687
329,330,0.0031261626636821527,0.5610173664048581,0.0006253818899394359,0.1598594061889942
330,331,0.003040829770047382,0.5576191143644078,0.0006082866715536595,0.15841170352006606
331,332,0.0029578221104292757,0.5542248071484542,0.0005916586055891848,0.15697569483887208
332,333,0.0028770765425516487,0.5508347025716881,0.0005754849348431623,0.15555131260658817
333,334,0.002798531627025147,0.5474490555049446,0.0005597532500392077,0.15413848913873407
334,335,0.0027221275820624724,0.5440681178377713,0.0005444514803573108,0.1527371566186816
335,336,0.0026478062393540114,0.540692138442806,0.0005295678842324181,0.1513472471109003
336,337,0.002575511001090325,0.5373213631419617,0.0005150910403911579,0.14996869257393342
337,338,0.0025051867980986353,0.5339560346743922,0.0005010098391362572,0.14860142487311934
338,339,0.0024367800490636693,0.5305963926662274,0.00048731347386610224,0.1472453757930513
339,340,0.0023702386208096504,0.5272426736020583,0.00047399143282622624,0.14590047704978193
340,341,0.002305511789617909,0.5238951107981528,0.0004610334910801761,0.1445666603027792
341,342,0.0022425502035513523,0.5205539343773851,0.00044842970270053684,0.14324385716662547
342,343,0.0021813058457645917,0.5172193712458566,0.0004361703931723415,0.14193199922247768
343,344,0.0021217319987703043,0.5138916450711861,0.00042424615200087334,0.14063101802927824
344,345,0.0020637832096436215,0.5105709762624524,0.0004126478255197519,0.13934084513472633
345,346,0.0020074152561389003,0.507257581951762,0.00040136650989730516,0.13806141208601164
346,347,0.001952585113692673,0.5039516759774243,0.0003903935443270168,0.13679265044031086
347,348,0.0018992509232977905,0.5006534688687039,0.0003797205044098195,0.13553449177505306
