,Day since infection,"Proba Neut Min
 vs. JN.1 antigen","Proba Neut Max
 vs. JN.1 antigen","Proba Neut Min
 vs. BA.2.87.1 antigen","Proba Neut Max
 vs. BA.2.87.1 antigen"
190,191,0.008706322740690053,0.1868302183636873,0.13578714581020712,0.941277610443364
191,192,0.008469458040010092,0.18518090782444707,0.13237254498141138,0.939893160625906
192,193,0.008239005390878407,0.18354414105274808,0.12903619557200574,0.9384859531282783
193,194,0.008014792942999449,0.18191986023063111,0.12577669915568312,0.93705586725566
194,195,0.007796653358797423,0.1803080070609313,0.12259266108427302,0.9356027874397186
195,196,0.007584423699955711,0.17870852278589644,0.11948269184185722,0.9341266033294063
196,197,0.00737794531652447,0.1771213482055024,0.1164454083114056,0.932627209878934
197,198,0.00717706373856708,0.17554642369547835,0.1134794349571685,0.931104507432839
198,199,0.0069816285702981595,0.17398368922503615,0.11058340492604368,0.9295584018080725
199,200,0.006791493386665959,0.17243308437431237,0.10775596107111063,0.9279888043730323
200,201,0.00660651563234016,0.17089454835151963,0.10499575690047891,0.9263956321234694
201,202,0.006426556523061122,0.16936802000981244,0.10230145745457264,0.924778807755201
202,203,0.006251480949304167,0.16785343786387397,0.09967174011489643,0.9231382597335676
203,204,0.006081157382221369,0.16635074010621298,0.09710529534729406,0.9214739223595703
204,205,0.005915457781809019,0.16485986462319258,0.09460082738263831,0.9197857358326356
205,206,0.005754257507267546,0.1633807490107727,0.09215705483783343,0.9180736463099488
206,207,0.005597435229503289,0.16191333058998603,0.08977271127992725,0.9163376059623107
207,208,0.005444872845733917,0.16045754642213683,0.08744654573608035,0.914577573026468
208,209,0.005296455396154309,0.15901333332373346,0.08517732315204851,0.9127935118538764
209,210,0.0051520709826199385,0.15758062788115101,0.08296382480176323,0.9109853929558553
210,211,0.005011610689308554,0.15615936646503337,0.08080484865052295,0.9091531930451039
211,212,0.004874968505317656,0.15474948524442766,0.07869920967421795,0.9072968950735377
212,213,0.004742041249155671,0.15335092020066332,0.07664574013694947,0.9054164882664301
213,214,0.004612728495090868,0.15196360714096924,0.07464328982930246,0.9035119681528228
214,215,0.004486932501314933,0.15058748171184044,0.0726907262694736,0.901583336592195
215,216,0.004364558139884012,0.14922247941214806,0.07078693486936116,0.8996306017973693
216,217,0.004245512828394582,0.14786853560600055,0.06893081906765541,0.8976537783536421
217,218,0.004129706463363858,0.14652558553535933,0.06712130043188047,0.8956528872341339
218,219,0.0040170513552687526,0.14519356433240393,0.0653573187312727,0.8936279558113498
219,220,0.003907462165213538,0.14387240703165882,0.06363783198229678,0.8915790178649527
220,221,0.00380085584318135,0.14256204858187893,0.06196181646852661,0.889506113585749
221,222,0.003697151567845336,0.14126242385769616,0.06032826673655556,0.8874092895758967
222,223,0.0035962706878917006,0.13997346767103114,0.05873619556951104,0.8852885988453416
223,224,0.0034981366648305645,0.1386951147822738,0.057184633939698526,0.8831441008045002
224,225,0.003402675017251333,0.13742729991123093,0.05567263094181396,0.8809758612532017
225,226,0.0033098132664981517,0.13616995774784724,0.05419925370811496,0.8787839523659147
226,227,0.0032194808837247013,0.13492302296270509,0.05276358730685882,0.8765684526732794
227,228,0.003131609238300137,0.13368643021729465,0.051364734625267805,0.8743294470399748
228,229,0.0030461315475348583,0.13246011417406978,0.050001816238212315,0.8720670266389523
229,230,0.00296298282769214,0.13124400950628512,0.04867397026375164,0.8697812889220691
230,231,0.002882099846255759,0.13003805090761744,0.04738035220660142,0.8674723375871598
231,232,0.002803421075429302,0.12884217310157553,0.04612013479056187,0.865140282541589
232,233,0.0027268866468260766,0.12765631085070084,0.044892507780870505,0.8627852398623244
233,234,0.0026524383073334157,0.12648039896556262,0.04369667779740194,0.8604073317525819
234,235,0.0025800193761160717,0.12531437231354348,0.04253186811958076,0.858006686495091
235,236,0.002509574702729389,0.12415816582743044,0.04139731848384043,0.855583438402033
236,237,0.0024410506263236043,0.12301171451380133,0.04029228487438952,0.8531377277617069
237,238,0.0023743949359037453,0.12187495346121646,0.039216039308041295,0.8506697007819845
238,239,0.0023095568316222614,0.12074781784821798,0.038167869613776495,0.8481795095306099
239,240,0.002246486887083954,0.11963024295113434,0.037147079207707545,0.8456673118724136
240,241,0.002185137012631455,0.1185221641516998,0.03615298686405255,0.8431332714034996
241,242,0.0021254604195840576,0.11742351694448472,0.035184926482693446,0.8405775573824792
242,243,0.002067411585424561,0.11633423694414224,0.03424224685386579,0.8380003446588175
243,244,0.002010946219883736,0.11525425989247795,0.03332431142048442,0.835401813598368
244,245,0.0019560212319235104,0.1141835216653353,0.03243049803858278,0.8327821500061652
245,246,0.0019025946975812502,0.11312195827930949,0.03156019873631588,0.8301415450465566
246,247,0.0018506258286626887,0.11206950589828435,0.030712819471932384,0.8274801951607444
247,248,0.0018000749422558693,0.11102610083980202,0.029887779891121236,0.8247983019818239
248,249,0.001750903431048112,0.10999167958126055,0.029084513084079222,0.8220960722473932
249,250,0.001703073734429461,0.10896617876594838,0.028302465342651684,0.819373717709819
250,251,0.0016565493103509743,0.10794953520891326,0.02754109591784737,0.8166314550442424
251,252,0.0016112946079364088,0.1069416859026715,0.02679987677802742,0.8138695057544063
252,253,0.0015672750408082248,0.10594256802275914,0.02607829236803505,0.8110880960763944
253,254,0.0015244569611276848,0.10495211893312528,0.02537583936951593,0.8082874568803635
254,255,0.001482807634318295,0.10397027619137245,0.024692026462657446,0.8054678235703612
255,256,0.0014422952144599321,0.10299697755384651,0.024026374089560876,0.8026294359823116
256,257,0.0014028887203380025,0.10203216098057788,0.023378414219440424,0.7997725382802658
257,258,0.001364558012127648,0.1010757646400745,0.02274769011582689,0.7968973788509965
258,259,0.0013272737686956804,0.10012772691397187,0.022133756105936597,0.7940042101970354
259,260,0.0012910074655111403,0.09918798640154258,0.02153617735235891,0.791093288828237
260,261,0.001255731353140388,0.09825648192406367,0.020954529627191576,0.7881648751519641
261,262,0.0012214184363152913,0.09733315252904873,0.020388399088745346,0.7852192333619803
262,263,0.001188042453561633,0.0964179374943458,0.01983738206093455,0.7822566313261432
