,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
271,272,0.01549648688794314,0.7548758712499506,0.007568751528499784,0.5138831116362931
272,273,0.015076487263884109,0.751759125536442,0.007362681731823972,0.5105682440186172
273,274,0.014667771473512503,0.7486285755621256,0.007162198637282069,0.5072605832768945
274,275,0.01427004169949786,0.7454845242093524,0.006967152068286797,0.5039603426717747
275,276,0.013883007697487626,0.7423272765058863,0.006777395816022547,0.500667732189942
276,277,0.013506386619146826,0.7391571395050629,0.006592787538351685,0.49738295853003744
277,278,0.013139902838465778,0.7359744221660369,0.00641318866109708,0.49410622509009405
278,279,0.012783287781326091,0.7327794352342054,0.006238464281648537,0.4908377319564754
279,280,0.012436279758307411,0.7295724911218767,0.006068483074853304,0.48757767589427803
280,281,0.0120986238007319,0.7263539037892658,0.005903117201144448,0.4843262503391822
281,282,0.011770071499913382,0.7231239886258889,0.005742242216867366,0.4810836453907248
282,283,0.011450380849596598,0.7198830623324302,0.005585736986755463,0.4778500478069625
283,284,0.011139316091561713,0.7166314428031493,0.005433483598516808,0.4746256410005095
284,285,0.010836647564361201,0.7133694490089052,0.00528536727948703,0.47141060503591137
285,286,0.010542151555168355,0.7100974008808585,0.005141276315307142,0.4682051166283425
286,287,0.010255610154698114,0.7068156191949213,0.0050011019705822335,0.4650093491435848
287,288,0.00997681111516846,0.7035244254570187,0.004864738411481939,0.4618234725992776
288,289,0.009705547711274076,0.7002241417892252,0.0047320826302419405,0.458647653667395
289,290,0.009441618604121182,0.6969150908168358,0.004603034371522208,0.45548205567793776
290,291,0.009184827708104581,0.6935975955564344,0.0044774960605890035,0.45232683862380374
291,292,0.008934984060669726,0.6902719793050109,0.004355372733273466,0.4491821591668097
292,293,0.008691901694932058,0.6869385655301894,0.004236571967671354,0.4460481706448448
293,294,0.008455399515107431,0.683597677761616,0.004121003817549207,0.4429250230801175
294,295,0.008225301174712318,0.680249639483562,0.004008580747411172,0.4398128631884781
295,296,0.008001434957491171,0.676894774028789,0.0038992175691964226,0.43671183438978056
296,297,0.007783633661029521,0.6735334044737267,0.0037928313805664082,0.43362207681926357
297,298,0.007571734483008297,0.670165853535007,0.0036893415047476452,0.43054372733992086
298,299,0.00736557891005496,0.666792443467402,0.003588669431895175,0.4274769195558288
299,300,0.007165012609147592,0.6634134959632058,0.003490738761936618,0.4244217838264147
300,301,0.006969885321528313,0.6600293320530979,0.0033954751488730617,0.421378447281624
301,302,0.006780050759082834,0.6566402720085363,0.003302806246490153,0.4183470338379758
302,303,0.00659536650313608,0.6532466352457016,0.0032126616554587484,0.41532766421546274
303,304,0.006415693905629127,0.6498487402310444,0.003124972871780929,0.4123204559552863
304,305,0.006240897992623284,0.6464469043884523,0.003039673236561291,0.40932552343838136
305,306,0.006070847370091781,0.6430414440080798,0.0029566978870627647,0.40634297790472385
306,307,0.005905414131958331,0.6396326741568623,0.002875983709018759,0.40337292747337783
307,308,0.005744473770328717,0.6362209085907451,0.0027974692901762133,0.4004154771632674
308,309,0.005587905087885092,0.6328064596686525,0.002721094875035024,0.3974707289146433
309,310,0.005435590112389255,0.6293896382682174,0.0026468023207545377,0.3945387816112179
310,311,0.00528741401325572,0.6259707537032969,0.0025745350542051293,0.3916197311029457
311,312,0.005143265020153942,0.6225501136432913,0.002504238030127448,0.3887136702294224
312,313,0.0050030343435948366,0.6191280240342858,0.002435857690382126,0.38582068884387943
313,314,0.0048666160974631945,0.6157047890220291,0.002369341924255197,0.3829408738377489
314,315,0.004733907223450129,0.6122807108767677,0.0023046400298013525,0.3800743091657721
315,316,0.004604807417348145,0.6088560899199418,0.002241702676187951,0.37722107587163434
316,317,0.0044792190571733,0.6054312244527638,0.002180481867029571,0.374381252114095
317,318,0.004357047133061176,0.6020064106866778,0.0021209309046749114,0.37155491319359435
318,319,0.004238199178914881,0.598581942675718,0.002063004355431941,0.36874213157931346
319,320,0.004122585205753482,0.5951581122507644,0.0020066580157052094,0.3659429769366628
320,321,0.004010117636727872,0.5917352089557087,0.001951848879016005,0.36315751615517966
321,322,0.003900711243768007,0.5883135199855252,0.0018985351038948162,0.36038581337681286
322,323,0.003794283085822747,0.5848933301262526,0.0018466759826166745,0.3576279300245686
323,324,0.0036907524486557985,0.5814749216968917,0.0017962319107570623,0.35488392483150233
324,325,0.003590040786164539,0.5780585744932079,0.00174716435755351,0.3521538538700326
325,326,0.003492071663183438,0.5746445657334454,0.0016994358370473472,0.3494377705815569
326,327,0.003396770699741314,0.5712331700059419,0.0016530098799878434,0.3467357258063486
327,328,0.003304065516735566,0.5678246592186456,0.0016078510064799767,0.3440477678137197
328,329,0.0032138856829931894,0.5644193025505244,0.001563924699354513,0.34137394233242135
329,330,0.0031261626636821527,0.5610173664048581,0.0015211973782457422,0.3387142925812753
330,331,0.003040829770047382,0.5576191143644078,0.0014796363743541097,0.33606885930000285
331,332,0.0029578221104292757,0.5542248071484542,0.0014392099058786467,0.3334376807802504
332,333,0.0028770765425516487,0.5508347025716881,0.0013998870541049868,0.3308207928967769
333,334,0.002798531627025147,0.5474490555049446,0.0013616377401237667,0.3282182291387995
334,335,0.0027221275820624724,0.5440681178377713,0.0013244327021743052,0.3256300206414702
335,336,0.0026478062393540114,0.540692138442806,0.0012882434735855819,0.3230561962174743
336,337,0.002575511001090325,0.5373213631419617,0.0012530423613079655,0.3204967823887287
337,338,0.0025051867980986353,0.5339560346743922,0.001218802425019705,0.3179518034181713
338,339,0.0024367800490636693,0.5305963926662274,0.0011854974567842014,0.31542128134161485
339,340,0.0023702386208096504,0.5272426736020583,0.0011531019612567306,0.3129052359996636
340,341,0.002305511789617909,0.5238951107981528,0.0011215911364169662,0.310403685069667
341,342,0.0022425502035513523,0.5205539343773851,0.0010909408548166466,0.3079166440977008
342,343,0.0021813058457645917,0.5172193712458566,0.0010611276453306173,0.30544412653056485
343,344,0.0021217319987703043,0.5138916450711861,0.0010321286753932624,0.30298614374777455
344,345,0.0020637832096436215,0.5105709762624524,0.0010039217337144413,0.3005427050935434
345,346,0.0020074152561389003,0.507257581951762,0.0009764852134552804,0.29811381790873637
346,347,0.001952585113692673,0.5039516759774243,0.0009497980958578234,0.29569948756278586
347,348,0.0018992509232977905,0.5006534688687039,0.0009238399343113324,0.2932997174855534
348,349,0.0018473719602177807,0.4973631678321364,0.0008985908388482455,0.29091450919913253
349,350,0.0017969086035299897,0.4940809767393721,0.0008740314610554689,0.2885438623495745
350,351,0.001747822306467306,0.49080709611653095,0.0008501429793917881,0.28618777473852797
351,352,0.0017000755675472545,0.48754172313504185,0.0008269070848999638,0.2838462423547856
352,353,0.0016536319024575974,0.48428505160393476,0.00080430596730241,0.2815192594057204
353,354,0.0016084558166910012,0.4810372719635738,0.0007823223014701286,0.27920681834860783
354,355,0.0015645127789013502,0.47779857128078485,0.0007609392342606824,0.2769089099218228
355,356,0.0015217691949670487,0.47456913324536987,0.0007401403717028909,0.2746255231758954
356,357,0.0014801923827382213,0.47134913816797164,0.0007199097665344656,0.2723566455044303
